epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8698,0.89439,4.68513,1.27838,0.00543,0.05573,0.0063,0.00575,0.56604,4.27352,1.10209,4.85882e-05,4.85882e-05,4.85882e-05
2,28.6906,0.60026,4.07006,1.10426,0.01766,0.4224,0.05605,0.04577,0.47865,3.35051,1.04857,9.66221e-05,9.66221e-05,9.66221e-05
3,42.4273,0.5939,3.63221,1.07603,0.42763,0.12103,0.09655,0.08517,0.42478,2.99223,0.98327,0.000143686,0.000143686,0.000143686
4,56.191,0.57812,3.31308,1.06602,0.19466,0.25971,0.17581,0.16022,0.40214,2.57173,0.97535,0.000142634,0.000142634,0.000142634
5,69.9537,0.57402,3.00987,1.05716,0.44671,0.18492,0.20919,0.19768,0.39264,2.45009,0.96426,0.000141179,0.000141179,0.000141179
6,83.6929,0.53253,2.73538,1.03302,0.34857,0.2691,0.27264,0.26005,0.34897,2.10761,0.92365,0.000139723,0.000139723,0.000139723
7,97.4816,0.52816,2.51725,1.02895,0.4601,0.33818,0.33786,0.31925,0.35271,1.96687,0.9191,0.000138268,0.000138268,0.000138268
8,111.248,0.49464,2.31048,1.00983,0.66665,0.32289,0.42346,0.4013,0.33466,1.6809,0.91003,0.000136813,0.000136813,0.000136813
9,125.001,0.47959,2.14039,1.00052,0.61721,0.44198,0.50131,0.48341,0.31339,1.58396,0.89199,0.000135358,0.000135358,0.000135358
10,138.762,0.48756,1.98151,1.00916,0.52017,0.46124,0.55344,0.5299,0.31734,1.41148,0.90251,0.000133902,0.000133902,0.000133902
11,152.466,0.46218,1.87668,1.00532,0.702,0.5487,0.64676,0.61793,0.31073,1.18442,0.89406,0.000132447,0.000132447,0.000132447
12,166.202,0.45441,1.76358,1.00394,0.74727,0.53646,0.68042,0.6537,0.27545,1.11751,0.87911,0.000130992,0.000130992,0.000130992
13,179.986,0.44669,1.62064,0.98897,0.78817,0.54744,0.74439,0.70784,0.33722,1.04571,0.91322,0.000129536,0.000129536,0.000129536
14,193.697,0.43845,1.57886,0.99766,0.73019,0.63265,0.72237,0.69584,0.29656,0.92731,0.88823,0.000128081,0.000128081,0.000128081
15,207.465,0.42797,1.49939,0.98101,0.82762,0.61288,0.75407,0.72979,0.27878,0.91153,0.8715,0.000126626,0.000126626,0.000126626
16,221.224,0.42239,1.41706,0.97821,0.82715,0.6015,0.74456,0.7143,0.29287,0.87637,0.878,0.000125171,0.000125171,0.000125171
17,234.956,0.40857,1.36441,0.97917,0.85153,0.64867,0.78306,0.75864,0.26746,0.76047,0.86,0.000123715,0.000123715,0.000123715
18,248.719,0.43669,1.32298,0.97929,0.86467,0.65087,0.78474,0.75141,0.28374,0.75934,0.86673,0.00012226,0.00012226,0.00012226
19,262.457,0.41719,1.23451,0.97224,0.85407,0.69367,0.82795,0.79347,0.30892,0.7064,0.89841,0.000120805,0.000120805,0.000120805
20,276.196,0.40097,1.2121,0.96671,0.88125,0.70276,0.83831,0.7992,0.29095,0.71089,0.87304,0.000119349,0.000119349,0.000119349
21,289.96,0.41945,1.20801,0.97224,0.86589,0.72785,0.85289,0.81877,0.28056,0.63647,0.8729,0.000117894,0.000117894,0.000117894
22,303.674,0.41548,1.13687,0.97169,0.81013,0.77837,0.8851,0.84747,0.28222,0.66449,0.86926,0.000116439,0.000116439,0.000116439
23,317.4,0.40469,1.10709,0.96531,0.87654,0.71422,0.87636,0.84652,0.27048,0.61805,0.8695,0.000114983,0.000114983,0.000114983
24,331.1,0.38784,1.06702,0.96585,0.7999,0.77968,0.89803,0.85956,0.2821,0.6574,0.8686,0.000113528,0.000113528,0.000113528
25,344.85,0.39718,1.06281,0.96536,0.78358,0.78496,0.877,0.84223,0.29135,0.67999,0.88003,0.000112073,0.000112073,0.000112073
26,358.578,0.41177,1.06146,0.9672,0.76043,0.8822,0.91237,0.87873,0.27569,0.59624,0.8687,0.000110617,0.000110617,0.000110617
27,372.291,0.39157,0.99997,0.96413,0.80729,0.80929,0.91248,0.88172,0.26275,0.57241,0.85868,0.000109162,0.000109162,0.000109162
28,386.038,0.38339,0.9756,0.95452,0.80428,0.86911,0.94217,0.91308,0.26557,0.51765,0.85492,0.000107707,0.000107707,0.000107707
